Timestamp,Faisalabad Temperature [2 m elevation corrected],Faisalabad Precipitation Total,Faisalabad Relative Humidity [2 m],Faisalabad Evapotranspiration,Faisalabad Soil Moisture [0-7 cm down],Faisalabad Soil Moisture [7-28 cm down]
2024-11-01T00:00:00,18.073166,0,78.38371,0.00432,0.177,0.215
2024-11-01T01:00:00,18.273167,0,76.013565,0.00432,0.178,0.215
2024-11-01T02:00:00,19.343166,0,70.77442,0.0072,0.178,0.215
2024-11-01T03:00:00,20.763166,0,66.60664,0.04752,0.177,0.215
2024-11-01T04:00:00,22.643166,0,60.302338,0.1224,0.177,0.215
2024-11-01T05:00:00,28.513166,0,45.5228,0.21024,0.177,0.215
2024-11-01T06:00:00,29.693167,0,42.709072,0.28656,0.176,0.214
2024-11-01T07:00:00,30.163166,0,39.92319,0.3312,0.175,0.214
2024-11-01T08:00:00,33.293167,0,31.63962,0.34992,0.174,0.213
2024-11-01T09:00:00,33.473167,0,31.038952,0.3312,0.173,0.213
2024-11-01T10:00:00,32.51317,0,34.58835,0.2736,0.173,0.212
2024-11-01T11:00:00,32.00317,0,38.914917,0.1728,0.172,0.212
2024-11-01T12:00:00,31.283167,0,40.30766,0.03744,0.172,0.212
2024-11-01T13:00:00,30.733166,0,40.752075,0.00576,0.172,0.212
2024-11-01T14:00:00,26.783167,0,50.24138,0.00432,0.172,0.212
2024-11-01T15:00:00,26.203167,0,53.33727,0.00288,0.172,0.212
2024-11-01T16:00:00,24.743166,0,58.17272,0.00288,0.172,0.212
2024-11-01T17:00:00,22.763166,0,64.128365,0.00288,0.172,0.212
2024-11-01T18:00:00,22.883165,0,63.6635,0.00288,0.172,0.212
2024-11-01T19:00:00,23.633165,0,60.725777,0.00288,0.172,0.212
2024-11-01T20:00:00,22.633165,0,62.83774,0.00288,0.173,0.212
2024-11-01T21:00:00,22.573166,0,63.269993,0.00144,0.173,0.212
2024-11-01T22:00:00,19.963167,0,70.29788,0.00144,0.176,0.216
2024-11-01T23:00:00,19.413166,0,74.3062,0.00144,0.176,0.216
2024-11-02T00:00:00,18.983166,0,77.7632,0.00144,0.176,0.216
2024-11-02T01:00:00,18.293167,0,80.82951,0.00144,0.177,0.216
2024-11-02T02:00:00,18.613167,0,80.61234,0.00288,0.177,0.216
2024-11-02T03:00:00,19.543167,0,78.95054,0.03456,0.177,0.216
2024-11-02T04:00:00,20.983166,0,72.82973,0.10368,0.176,0.216
2024-11-02T05:00:00,27.233166,0,54.313244,0.18864,0.176,0.216
2024-11-02T06:00:00,28.293167,0,52.52169,0.26208,0.175,0.215
2024-11-02T07:00:00,29.053165,0,49.437496,0.30096,0.174,0.215
2024-11-02T08:00:00,32.16317,0,41.350163,0.3168,0.174,0.214
2024-11-02T09:00:00,32.333168,0,40.748108,0.2952,0.173,0.214
2024-11-02T10:00:00,31.543167,0,44.87281,0.23904,0.17,0.212
2024-11-02T11:00:00,31.573166,0,42.64927,0.14832,0.169,0.211
2024-11-02T12:00:00,31.513166,0,43.420643,0.03168,0.169,0.211
2024-11-02T13:00:00,29.893166,0,49.779495,0.00432,0.169,0.211
2024-11-02T14:00:00,24.313166,0,67.200874,0.00432,0.169,0.211
2024-11-02T15:00:00,23.943167,0,70.018105,0.00432,0.169,0.211
2024-11-02T16:00:00,24.073166,0,69.691635,0.00576,0.169,0.211
2024-11-02T17:00:00,22.483166,0,73.13585,0.00576,0.17,0.211
2024-11-02T18:00:00,22.413166,0,72.15961,0.00576,0.17,0.211
2024-11-02T19:00:00,22.093166,0,71.55603,0.00576,0.17,0.211
2024-11-02T20:00:00,20.843166,0,75.35769,0.00576,0.17,0.211
2024-11-02T21:00:00,20.623167,0,75.41833,0.00576,0.17,0.211
2024-11-02T22:00:00,19.513166,0,77.24579,0.00432,0.172,0.213
2024-11-02T23:00:00,19.373167,0,78.17154,0.00432,0.172,0.213
2024-11-03T00:00:00,19.343166,0,78.41811,0.00432,0.172,0.213
2024-11-03T01:00:00,19.293167,0,77.95948,0.00432,0.172,0.213
2024-11-03T02:00:00,19.563166,0,76.71031,0.00576,0.172,0.213
2024-11-03T03:00:00,20.313166,0,74.69629,0.03888,0.172,0.213
2024-11-03T04:00:00,21.133165,0,71.290436,0.10656,0.172,0.212
2024-11-03T05:00:00,27.123167,0,51.63052,0.1872,0.171,0.212
2024-11-03T06:00:00,28.183167,0,48.218643,0.25632,0.171,0.212
2024-11-03T07:00:00,28.693167,0,46.86933,0.29376,0.17,0.211
2024-11-03T08:00:00,31.693167,0,38.75562,0.30528,0.169,0.211
2024-11-03T09:00:00,31.823166,0,37.836575,0.28224,0.169,0.21
2024-11-03T10:00:00,30.593166,0,43.918365,0.22752,0.17,0.21
2024-11-03T11:00:00,30.623167,0,43.09845,0.14544,0.17,0.21
2024-11-03T12:00:00,30.663166,0,42.83634,0.03456,0.17,0.21
2024-11-03T13:00:00,29.703167,0,48.06897,0.00432,0.17,0.21
2024-11-03T14:00:00,24.493166,0,63.206474,0.00432,0.17,0.21
2024-11-03T15:00:00,23.733166,0,67.93761,0.00288,0.17,0.21
2024-11-03T16:00:00,23.173166,0,70.71722,0.00288,0.17,0.21
2024-11-03T17:00:00,21.243166,0,76.433235,0.00288,0.17,0.21
2024-11-03T18:00:00,21.213167,0,77.158325,0.00432,0.17,0.21
2024-11-03T19:00:00,21.123167,0,77.7825,0.00288,0.17,0.21
2024-11-03T20:00:00,19.763166,0,82.21444,0.00288,0.17,0.21
2024-11-03T21:00:00,19.653166,0,81.78401,0.00288,0.17,0.21
2024-11-03T22:00:00,18.683167,0,85.18232,0.00144,0.173,0.213
2024-11-03T23:00:00,18.963167,0,83.8651,0.00144,0.173,0.213
2024-11-04T00:00:00,19.233166,0,82.83363,0.00144,0.173,0.213
2024-11-04T01:00:00,19.573166,0,81.09987,0.00144,0.173,0.213
2024-11-04T02:00:00,19.843166,0,80.92835,0.00144,0.173,0.213
2024-11-04T03:00:00,20.413166,0,80.59216,0.03168,0.173,0.213
2024-11-04T04:00:00,20.843166,0,75.16597,0.10224,0.173,0.213
2024-11-04T05:00:00,27.053165,0,55.413036,0.18432,0.173,0.213
2024-11-04T06:00:00,27.673166,0,53.33433,0.25344,0.172,0.212
2024-11-04T07:00:00,28.213167,0,51.777695,0.288,0.171,0.212
2024-11-04T08:00:00,31.453167,0,42.995525,0.29808,0.171,0.211
2024-11-04T09:00:00,31.663166,0,42.13782,0.27648,0.17,0.211
2024-11-04T10:00:00,30.983166,0,45.262028,0.22608,0.167,0.209
2024-11-04T11:00:00,30.973166,0,43.964973,0.14688,0.167,0.208
2024-11-04T12:00:00,30.583166,0,49.183002,0.03888,0.167,0.208
2024-11-04T13:00:00,28.953167,0,55.353878,0.00432,0.167,0.208
2024-11-04T14:00:00,24.723166,0,67.87542,0.00576,0.167,0.208
2024-11-04T15:00:00,24.603167,0,70.27168,0.00576,0.167,0.208
2024-11-04T16:00:00,24.353167,0,70.71046,0.00576,0.167,0.208
2024-11-04T17:00:00,22.553165,0,74.731674,0.00432,0.167,0.208
2024-11-04T18:00:00,22.303165,0,75.40031,0.00432,0.167,0.208
2024-11-04T19:00:00,22.123167,0,76.13551,0.00576,0.167,0.208
2024-11-04T20:00:00,21.433167,0,76.94771,0.00576,0.167,0.208
2024-11-04T21:00:00,21.393166,0,76.21472,0.00576,0.167,0.208
2024-11-04T22:00:00,19.903166,0,79.455956,0.00432,0.169,0.21
2024-11-04T23:00:00,19.613167,0,81.57113,0.00432,0.169,0.21
2024-11-05T00:00:00,19.443167,0,82.280304,0.00432,0.169,0.21
2024-11-05T01:00:00,19.193167,0,84.37237,0.00288,0.169,0.21
2024-11-05T02:00:00,19.533167,0,81.405365,0.00432,0.169,0.21
2024-11-05T03:00:00,19.973166,0,79.46562,0.036,0.169,0.21
2024-11-05T04:00:00,21.403166,0,73.93049,0.1008,0.169,0.21
2024-11-05T05:00:00,26.463167,0,55.831997,0.17856,0.169,0.209
2024-11-05T06:00:00,27.593166,0,51.3907,0.2448,0.168,0.209
2024-11-05T07:00:00,28.143166,0,49.26301,0.27936,0.167,0.209
2024-11-05T08:00:00,30.873167,0,43.965897,0.29088,0.167,0.208
2024-11-05T09:00:00,31.103167,0,43.944363,0.26784,0.166,0.208
2024-11-05T10:00:00,30.213167,0,49.364952,0.216,0.163,0.205
2024-11-05T11:00:00,29.943167,0,49.979916,0.14112,0.162,0.205
2024-11-05T12:00:00,28.353167,0,61.06113,0.04464,0.162,0.205
2024-11-05T13:00:00,27.583166,0,63.12104,0.00576,0.162,0.205
2024-11-05T14:00:00,24.883165,0,70.19163,0.00576,0.162,0.205
2024-11-05T15:00:00,23.793167,0,72.49176,0.00576,0.162,0.205
2024-11-05T16:00:00,23.593166,0,73.278564,0.00432,0.163,0.205
2024-11-05T17:00:00,22.393166,0,77.236885,0.00432,0.163,0.205
2024-11-05T18:00:00,22.333166,0,75.642746,0.00432,0.163,0.205
2024-11-05T19:00:00,22.333166,0,75.83337,0.00432,0.163,0.205
2024-11-05T20:00:00,21.013166,0,79.70853,0.00432,0.163,0.205
2024-11-05T21:00:00,21.143166,0,79.17444,0.00288,0.163,0.205
2024-11-05T22:00:00,19.563166,0,83.61262,0.00288,0.168,0.209
2024-11-05T23:00:00,19.423166,0,84.71909,0.00288,0.168,0.209
2024-11-06T00:00:00,19.323166,0,85.73593,0.00144,0.168,0.209
2024-11-06T01:00:00,19.153166,0,86.86866,0.00144,0.168,0.209
2024-11-06T02:00:00,19.793167,0,83.21533,0.00288,0.168,0.209
2024-11-06T03:00:00,20.433167,0,81.931786,0.03024,0.168,0.209
2024-11-06T04:00:00,20.933167,0,78.24884,0.09216,0.168,0.209
2024-11-06T05:00:00,26.363167,0,61.96112,0.16848,0.167,0.209
2024-11-06T06:00:00,27.023167,0,58.122402,0.23616,0.167,0.209
2024-11-06T07:00:00,27.453167,0,56.037033,0.26928,0.166,0.208
2024-11-06T08:00:00,30.333166,0,47.125015,0.2808,0.166,0.208
2024-11-06T09:00:00,30.583166,0,45.72891,0.26064,0.165,0.207
2024-11-06T10:00:00,29.753166,0,52.395016,0.2088,0.165,0.207
2024-11-06T11:00:00,29.653166,0,52.402695,0.13248,0.165,0.207
2024-11-06T12:00:00,29.973166,0,51.34996,0.03312,0.165,0.207
2024-11-06T13:00:00,28.753166,0,57.445885,0.00288,0.165,0.207
2024-11-06T14:00:00,24.723166,0,72.29119,0.00288,0.165,0.207
2024-11-06T15:00:00,24.313166,0,75.57402,0.00288,0.165,0.207
2024-11-06T16:00:00,23.903166,0,76.50231,0.00288,0.165,0.207
2024-11-06T17:00:00,22.253166,0,80.174416,0.00288,0.165,0.207
2024-11-06T18:00:00,21.903166,0,81.44396,0.00288,0.165,0.207
2024-11-06T19:00:00,21.723166,0,82.602394,0.00288,0.165,0.207
2024-11-06T20:00:00,20.623167,0,86.240265,0.00288,0.165,0.207
2024-11-06T21:00:00,20.643166,0,85.273415,0.00144,0.165,0.207
2024-11-06T22:00:00,19.673166,0,87.245514,0.00144,0.17,0.212
